scene_idx,scene_id,algo,snr_db,K,modulation,gain_err_dB,phase_err_deg,mutual_coupling,position_err_pct,rmspe_deg,elapsed_s,true_deg,est_deg
441,441,music,18.615253448486328,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,49.71830967810881,0.0004679170669987798,-53.4737;-42.8264;+46.4896,-46.8805;+42.7233;+53.8053
881,881,music,-1.514397382736206,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,77.55484970021804,0.0004701249999925494,-57.9911;-36.9433;-20.8161,+20.8200;+37.0770;+58.8962
607,607,music,-0.23162971436977386,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,77.0773514397001,0.0004695410607382655,+19.3010;+37.2015;+59.4192,-59.2012;-36.9306;-19.0957
692,692,music,17.067543029785156,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,25.145104210959502,0.00046920799650251865,-49.0095;-19.7457;+36.0973,-36.0465;+19.7546;+49.0784
816,816,music,11.669906616210938,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,30.288769754439368,0.0004705419996753335,-58.3483;-19.4686;+33.2386,-33.0425;+19.2753;+57.9519
251,251,music,14.121336936950684,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,10.32589507709057,0.00046920799650251865,-55.0610;+8.3191;+59.7973,-59.8252;-8.2563;+55.0612
723,723,music,-7.052370071411133,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,10.438306740594246,0.00046995794400572777,-2.9707;+6.1014;+14.9349,-12.2225;+1.1961;+29.6732
628,628,music,-5.3482279777526855,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,70.86706881041003,0.0004669580375775695,-55.1575;-48.8848;-30.1828,-9.7914;+30.2251;+51.9754
141,141,music,-0.09313180297613144,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,47.506205117485955,0.00048358296044170856,-24.9543;-11.2034;-7.6816,+9.7117;+25.1262;+57.5023
357,357,music,10.718844413757324,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,21.054271179332616,0.00046791601926088333,-48.2680;+17.9767;+53.6894,-52.9410;-17.7264;+47.9195
903,903,music,5.604438304901123,3,0,0.0999755859375,1.0,0.0200042724609375,1.0,35.085836425106905,0.0004728749627247453,-11.1647;-5.1963;+53.9631,-53.0467;+5.2774;+11.1935
